42	58	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
42	59	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
42	60	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
42	61	67500	-1500	1500	0	0	0	0	0	0	0	0	0	0	0	0
42	62	60000	-2000	2000	0	0	0	0	0	0	0	0	0	0	0	0
42	63	36300	-800	800	0	0	0	0	0	0	0	0	0	0	0	0
42	64	8730	-120	120	0	0	0	0	0	0	0	0	0	0	0	0
42	65	3500	-500	500	0	0	0	0	0	0	0	0	0	0	0	0
42	66	1105	-10	10	0	0	0	0	0	0	0	0	0	0	0	0
42	67	692	-26	26	1.3	-0.6	0.6	0	0	0	0	0	0	0	0	0
41	57	2860	-60	60	0	0	0	0	0	0	0	0	0	0	0	0
41	58	15000	-200	200	0	0	0	0	0	0	0	0	0	0	0	0
41	59	1500	-200	200	0	0	0	0	0	0	0	0	0	0	0	0
41	60	7100	-300	300	0	0	0	0	0	0	0	0	0	0	0	0
41	61	4300	-400	400	0	0	0	0	0	0	0	0	0	0	0	0
41	62	1360	-70	70	0	0	0	0	0	0	0	0	0	0	0	0
41	63	4900	-400	400	0.06	-0.03	0.03	0	0	0	0	0	0	0	0	0
41	64	2910	-70	70	1.7	-0.9	0.9	0	0	0	0	0	0	0	0	0
41	65	1013	-42	42	4.5	-0.3	0.3	0	0	0	0	0	0	0	0	0
41	66	287	-11	11	7.4	-1	1	0	0	0	0	0	0	0	0	0
41	67	192	-6	6	6.3	-0.5	0.5	0	0	0	0	0	0	0	0	0
41	68	113	-11	11	31	-5	5	0	0	0	0	0	0	0	0	0
40	54	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
40	55	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
40	56	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
40	57	1000000	-9000	9000	0	0	0	0	0	0	0	0	0	0	0	0
